station,rating
Iwatenumakunai,3.4
Kozuya,3.9
Mido,3.4
Kamiarisu,3.9
Hizume,3.4
Furudate,3.1
Ichinohe,3.3
Hottoyuda,4.1
Yudakinshuko,3.9
Otsuchi,4.0
Kirikiri,4.3
Namiitakaigan,3.9
Orikasa,4.2
Iwatefunakoshi,3.7
Imaizumiomoto,3.8
Tanohata,3.8
Shimanokoshi,4.3
Fudai,4.1
Shiraikaigan,4.3
Horinai,4.3
Nodatamagawa,3.8
Uge (Iwate),4.2
Rikuchuyagi,3.6
Tamagawa (Iwate),3.7
Hiranai,3.2
Rikuchunakano,4.3
Okunakayamakogen,4.0
Kotsunagi,3.9
Shukunohe,3.6
Yudakogen,3.8
Kitasendai,3.6
Ayashi,3.0
Rikuzen-ochiai,3.4
Asahigaoka (Miyagi),3.7
Kuromatsu (Miyagi),3.9
Dainohara,3.4
Aobayama,3.9
Kawauchi (Miyagi),4.1
Kunimi (Miyagi),3.3
Hirosedori,3.4
Kitayama (Miyagi),3.5
Aobadori,3.8
Aoba-dori Ichibancho,3.8
Itsutsubashi,5.0
Omachi Nishi-koen,3.9
Kotodaikoen,3.8
Sendai,4.1
Atagobashi,3.7
Kuzuoka,3.4
Rikuzenshirasawa,3.3
Toshogu,3.3
Kumagane,3.9
Tohokufukushidaimae,3.5
Kitayobancho,3.6
International Center (Miyagi),4.2
Yaotome,3.8
Sakunami,3.5
Tsutsujigaoka,3.5
Okunikkawa,3.9
Yamoto,3.2
Higashisendai,3.6
Miyaginohara,3.9
Rikuzenharanomachi,3.4
Nakanosakae,3.5
Iwakiri,3.2
Fukudamachi,1.7
Kozurushinden,3.6
Nigatake,3.1
Arai (Miyagi),4.2
Rikuzentakasago,3.3
Tagajo,3.8
Rikuzen-akai,3.5
Miyagino-dori,3.6
Oroshimachi (Miyagi),3.6
Yakushido (Miyagi),3.7
Rembo,3.7
Kawaramachi (Miyagi),3.5
Rokuchonome,3.5
Izumichuo,4.1
Nagamachi 1-chome,4.1
Nagamachi,3.7
Natori,3.3
Minamisendai,3.3
Atago (Miyagi),3.5
Nagamachiminami,3.4
Yagiyama Zoological Park,4.2
Taishido,3.5
Tomizawa,3.6
Rifu,3.5
Higashishiogama,3.4
Kanomata,3.9
Ishinomakiayumino,3.5
Hebita,3.8
Sobanokami,3.3
Ishinomaki,3.8
Onagawa,4.1
Watanoha,3.6
Rikuzen-inai,2.4
Rikuzen-yamashita,3.6
Yanaizu (Miyagi),3.6
Kakeyama,3.8
Higashiyamoto,3.1
Maeyachi,3.4
Urashuku,2.6
Higashishiroishi,3.7
Wabuchi,3.8
Sawada,4.6
Mangokuura,3.7
Mitakedo,4.3
Rikuzentoyosato,3.5
Shiogama,3.7
Nishishiogama,2.9
Honshiogama,3.5
Geba,3.2
Rikuzen-yokoyama,3.0
Kokufutagajo,3.6
Kesennuma,3.8
Minamikesennuma,3.4
Oyakaigan,4.0
Saichi,2.2
Rikuzenhashikami,3.2
Matsuiwa,3.8
Fudonosawa,3.6
Rikuzenkoizumi,2.3
Motoyoshi,3.3
Shiroishi (Miyagi),3.7
Shiroishizao,3.7
Kosugo,4.0
Kitashirakawa,3.9
Tatekoshi,3.0
Morisekinoshita,3.6
Mitazono,3.7
Sendaikuko,3.3
Iwanuma,3.6
Oka,3.7
Yokokura (Miyagi),2.6
Kakuda,3.1
Minamikakuda,3.0
Shishiorikarakuwa,3.8
Marumori,3.5
Kitamarumori,3.5
Ogawara (Miyagi),3.6
Higashifunaoka,3.8
Hamayoshida,3.7
Rikuzensanno,3.4
Kashimadai,3.4
Nonodake,3.0
Tsukinoki,3.5
Ishikoshi,3.8
Nitta (Miyagi),3.9
Umegasawa,3.1
Semine,3.0
Kamiwakuya,3.0
Kurikomakogen,3.5
Arikabe,3.8
Kawatabionsen,3.7
Rikuzen-ono,4.1
Tona,3.9
Rikuzen-otsuka,3.8
Nobiru,3.8
Kazuma,3.8
Iwadeyama,3.6
Utatsu,3.3
Yubikan,4.2
Ikezuki,3.7
Kaminome,3.8
Shinainuma,4.3
Matsuyamamachi,3.3
Furukawa,3.4
Shizugawa,4.0
Tsukanome,3.4
Tajiri,4.2
Kurauchi,3.0
Nakayamadairaonsen,3.8
Koganezawa,3.2
Narukoonsen,3.9
Narukogoten-yu,3.8
Nishifurukawa,3.7
Rikuzen-yachi,3.4
Watari,3.8
Higashiosaki,3.5
Kitaura (Miyagi),3.6
Takagimachi,3.5
Kamishishiori,3.6
Kogota,3.5
Funaoka (Miyagi),3.8
Shinchi,3.7
Sakamoto,3.9
Okuma,3.5
Yamashita (Miyagi),4.0
Matsushima,3.4
Tetaru,3.8
Rikuzentomiyama,3.0
Matsushimakaigan,3.9
Rikuzenhamada,3.3
Shinrifu,3.7
Wakuya,2.9
Shizuhama,3.0
Rikuzenminato,1.0
